Sample ID,Country,Location,Year,Month,Latitude,Longitude,Sex
AN0083-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0084-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0085-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0086-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0087-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0088-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0089-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0090-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0091-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0092-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0093-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0094-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0095-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0096-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0097-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0099-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0100-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0101-Cx,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0102-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0103-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0104-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0105-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0106-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0107-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0108-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0109-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0111-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0112-Cx,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0122-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0123-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0124-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0125-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0126-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0127-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0128-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0129-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0130-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0131-C,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0132-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0133-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0134-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0135-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0136-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",M
AN0137-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0138-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0139-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0140-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0141-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0142-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0143-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0144-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
